,complex_FB15k,complex_FB15k-237,complex_WN18,complex_WN18RR,conve_FB15k,conve_FB15k-237,conve_WN18,conve_WN18RR,transe_FB15k,transe_FB15k-237,transe_WN18,transe_WN18RR,AVG
criage,85.1,72.2,92.3,82.4,75.3,64.9,83.0,82.7,,,,,79.73750000000001
data_poisoning,31.6,55.4,25.0,29.7,47.4,55.7,29.0,22.0,36.8,37.0,18.4,14.6,33.550000000000004
k1,28.1,45.3,59.1,42.6,47.4,50.6,50.0,47.0,54.7,49.3,39.4,12.4,43.824999999999996
AnyBurlAttack,33.3,41.3,26.1,22.0,42.9,45.7,9.0,17.2,31.9,52.9,0.0,13.3,27.966666666666665
kelpie,41.8,35.7,29.0,19.0,40.2,64.3,34.0,20.0,63.2,47.0,30.0,18.2,36.86666666666667
